worm_strain,RNAi_strain,worm_stage,image_number,area,mean,IntDen,CTCF,noramlized_intestine_flourescence 
JM149,pop-1,L4,4,10674.539,154.264,1646701.318,575287.164,53.89339662
JM149,pop-1,L4,4_background,130.396,100.371,13087.968,0,0
JM149,pop-1,L4,3,24914.931,129.4,3223995.101,754202.9059,30.2711216
JM149,pop-1,L4,3_background,130.396,99.129,12925.993,0,0
JM149,pop-1,L4,2,22669.218,138.303,3135218.927,872853.6398,38.50391486
JM149,pop-1,L4,2_background,130.396,99.799,13013.46,0,0
JM149,pop-1,L4,1,10212.571,150.081,1532714.756,519678.7757,50.88618485
JM149,pop-1,L4,1_background,130.396,99.195,12934.632,0,0
JM149,L4440,L4,5,15519.16,130.228,2021035.563,474737.4989,30.59041204
JM149,L4440,L4,5_background,130.396,99.638,12992.452,0,0
JM149,L4440,L4,6,18442.369,150.102,2768238.196,931138.4928,50.4890935
JM149,L4440,L4,6_background,130.396,99.613,12989.098,0,0
JM149,L4440,adult,7,25550.25,141.314,3610596.328,1049285.967,41.06754206
JM149,L4440,adult,7_background,130.396,100.246,13071.736,0,0
JM149,L4440,L4,8,24252.244,133.919,3247824.55,832664.8313,34.33351698
JM149,L4440,L4,8_background,130.396,99.585,12985.476,0,0
JM149,y32f6a.5,L4,9,14242.243,131.54,1873429.615,442126.9202,31.04334902
JM149,y32f6a.5,L4,9_background,130.396,100.497,13104.416,0,0
JM149,y32f6a.5,L4,10,16298.344,141.721,2309823.704,697917.4824,42.8213739
JM149,y32f6a.5,L4,10_background,130.396,98.9,12896.184,0,0
JM149,y32f6a.5,L4,11,21013.991,192.621,4047726.002,1948869.595,92.74152611
JM149,y32f6a.5,L4,11_background,130.396,99.879,13023.817,0,0
JM149,y32f6a.5,L4,12,21339.579,147.815,3154310.46,1011731.37,47.41102765
JM149,y32f6a.5,L4,12_background,130.396,100.404,13092.342,0,0
JM149,cpr-1,L4,13,22950.697,178.731,4102003.607,1708544.269,74.44411248
JM149,cpr-1,L4,13_background,130.396,104.287,13598.687,0,0
JM149,cpr-1,L4,14,13285.521,126.187,1676459.716,352637.2615,26.54297573
JM149,cpr-1,L4,14_background,130.396,99.644,12993.15,0,0
JM149,cpr-1,L4,15,23655.4,184.579,4366280.187,1997759.607,84.45258193
JM149,cpr-1,L4,15_background,130.396,100.126,13056.094,0,0
JM149,cpr-1,L4,16,21433.03,186.105,3988804.091,1866955.554,87.10646857
JM149,cpr-1,L4,16_background,130.396,98.999,12909.143,0,0
JM149,ugt-14 ,L4,17,30508.123,119.745,3653180.078,601269.4856,19.7085047
JM149,ugt-14 ,L4,17_background,130.396,100.036,13044.342,0,0
JM149,ugt-14 ,L4,18,14252.627,135.447,1930477.093,513124.601,36.00210691
JM149,ugt-14 ,L4,18_background,130.396,99.445,12967.258,0,0
JM149,ugt-14 ,L4,19,21232.767,130.038,2761068.578,629277.5384,29.63709527
JM149,ugt-14 ,L4,19_background,130.396,100.401,13091.886,0,0
JM149,ugt-14 ,L4,20,21464.1,151.318,3247897.207,1105651.242,51.51165166
JM149,ugt-14 ,L4,20_background,130.396,99.806,13014.346,0,0
JM149,endu-2,L4,21,23675.845,135.362,3204810.278,844731.0209,35.67902311
JM149,endu-2,L4,21_background,130.396,99.683,12998.301,0,0
JM149,endu-2,L4,22,26516.631,158.68,4207646.047,1576851.536,59.46651125
JM149,endu-2,L4,22_background,130.396,99.213,12936.966,0,0
JM149,endu-2,L4,23,12502.178,159.639,1995835.693,750231.1967,60.00803993
JM149,endu-2,L4,23_background,130.396,99.631,12991.513,0,0
JM149,endu-2,L4,24,18349.455,144.967,2660059.336,831939.8333,45.33866718
JM149,endu-2,L4,24_background,130.396,99.628,12991.137,0,0
JM149,clec-56,L4,25,12574.594,149.503,1879940.061,635784.5815,50.56104248
JM149,clec-56,L4,25_background,130.396,98.942,12901.604,0,0
JM149,clec-56,L4,26,34554.751,131.713,4551321.435,1107905.943,32.06233328
JM149,clec-56,L4,26_background,130.396,99.651,12994.062,0,0
JM149,clec-56,L4,27,19057.244,176.817,3369641.967,1464432.113,76.84385594
JM149,clec-56,L4,27_background,130.396,99.973,13036.159,0,0
JM149,clec-56,L4,28,30733.016,128.198,3939898.299,877967.9149,28.56758071
JM149,clec-56,L4,28_background,130.396,99.63,12991.432,0,0
JM149,c14c6.5,L4,29,27500.478,118.164,3249579.291,525546.9432,19.11046576
JM149,c14c6.5,L4,29_background,130.396,99.054,12916.307,0,0
JM149,c14c6.5,L4,30,11023.952,163.539,1802850.713,703883.9621,63.85041971
JM149,c14c6.5,L4,30_background,130.396,99.689,12999.025,0,0
JM149,c14c6.5,L4,31,26390.42,163.161,4305893.573,1677249.398,63.55523703
JM149,c14c6.5,L4,31_background,130.396,99.606,12988.186,0,0
JM149,c14c6.5,L4,32,17398.153,113.004,1966064.067,245856.4854,14.13118309
JM149,c14c6.5,L4,32_background,130.396,98.873,12892.723,0,0
JM149,pbo-4,L4,33,20876.753,122.967,2567161.622,503181.4367,24.10247593
JM149,pbo-4,L4,33_background,130.396,98.865,12891.596,0,0
JM149,pbo-4,L4,34,15519.321,145.114,2252063.875,706851.641,45.54655716
JM149,pbo-4,L4,34_background,130.396,99.567,12983.169,0,0
JM149,pbo-4,adult,35,36321.781,116.995,4249480.501,630196.6333,17.35037809
JM149,pbo-4,adult,35_background,130.396,99.645,12993.391,0,0
JM149,pbo-4,L4,36,29717.938,122.001,3625616.119,661222.0856,22.24993152
JM149,pbo-4,L4,36_background,130.396,99.751,13007.155,0,0